value;shiftDiff;shiftChanges;punishment;adj_shiftDiff;adj_shiftChanges;adj_punishment
36,6;33;30;39;3,3;6;27,3
24,1;22;22;25;2,2;4,4;17,5
17,1;13;16;18;1,3;3,2;12,6
13,7;7;16;14;0,7;3,2;9,8
12,3;7;16;12;0,7;3,2;8,4
9,1;7;14;8;0,7;2,8;5,6
6,5;6;12;5;0,6;2,4;3,5
6,2;7;10;5;0,7;2;3,5
6,3;8;10;5;0,8;2;3,5
5,6;8;10;4;0,8;2;2,8
5,7;9;10;4;0,9;2;2,8
5,3;8;12;3;0,8;2,4;2,1
4,8;6;14;2;0,6;2,8;1,4
4,8;7;10;3;0,7;2;2,1
4,8;7;10;3;0,7;2;2,1
4,9;8;10;3;0,8;2;2,1
4,7;6;10;3;0,6;2;2,1
4,7;6;10;3;0,6;2;2,1
4,7;9;12;2;0,9;2,4;1,4
4,7;6;10;3;0,6;2;2,1
4,9;4;12;3;0,4;2,4;2,1
4,9;4;12;3;0,4;2,4;2,1
4,8;3;12;3;0,3;2,4;2,1
4,8;6;14;2;0,6;2,8;1,4
4,9;7;14;2;0,7;2,8;1,4
4,9;8;10;3;0,8;2;2,1
3,7;10;10;1;1;2;0,7
3,7;10;10;1;1;2;0,7
3,7;10;10;1;1;2;0,7
3,6;9;10;1;0,9;2;0,7
3,6;10;6;2;1;1,2;1,4
3,4;7;10;1;0,7;2;0,7
3,8;8;8;2;0,8;1,6;1,4
3,2;9;8;1;0,9;1,6;0,7
3,4;7;10;1;0,7;2;0,7
3,4;7;10;1;0,7;2;0,7
3,3;6;10;1;0,6;2;0,7
3,6;5;12;1;0,5;2,4;0,7
3,9;5;10;2;0,5;2;1,4
3,9;5;10;2;0,5;2;1,4
3,9;9;8;2;0,9;1,6;1,4
3,9;9;8;2;0,9;1,6;1,4
3,3;10;8;1;1;1,6;0,7
3,3;10;8;1;1;1,6;0,7
3,7;11;6;2;1,1;1,2;1,4
3,7;11;6;2;1,1;1,2;1,4
3,9;9;8;2;0,9;1,6;1,4
2,9;10;6;1;1;1,2;0,7
2,9;10;6;1;1;1,2;0,7
2,9;10;6;1;1;1,2;0,7
2,9;10;6;1;1;1,2;0,7
2,9;10;6;1;1;1,2;0,7
2,7;8;6;1;0,8;1,2;0,7
2,7;8;6;1;0,8;1,2;0,7
2,7;8;6;1;0,8;1,2;0,7
2,7;8;6;1;0,8;1,2;0,7
2,7;8;6;1;0,8;1,2;0,7
2,7;8;6;1;0,8;1,2;0,7
2,7;8;6;1;0,8;1,2;0,7
2,5;9;8;0;0,9;1,6;0
2,5;9;8;0;0,9;1,6;0
2,8;8;10;0;0,8;2;0
2,7;7;10;0;0,7;2;0
2,7;7;10;0;0,7;2;0
2,8;8;10;0;0,8;2;0
2,7;7;10;0;0,7;2;0
2,7;7;10;0;0,7;2;0
2,8;8;10;0;0,8;2;0
2,9;9;10;0;0,9;2;0
2,8;8;10;0;0,8;2;0
2,9;9;10;0;0,9;2;0
2,9;9;10;0;0,9;2;0
2,9;9;10;0;0,9;2;0
2,9;9;10;0;0,9;2;0
2,9;9;10;0;0,9;2;0
2,7;7;10;0;0,7;2;0
2,7;7;10;0;0,7;2;0
2,9;5;12;0;0,5;2,4;0
2,7;7;10;0;0,7;2;0
2,9;9;10;0;0,9;2;0
2,8;8;10;0;0,8;2;0
2,9;9;10;0;0,9;2;0
2,8;8;10;0;0,8;2;0
2,8;8;10;0;0,8;2;0
2,5;9;8;0;0,9;1,6;0
2,5;9;8;0;0,9;1,6;0
2,5;9;8;0;0,9;1,6;0
2,4;8;8;0;0,8;1,6;0
2,9;6;8;1;0,6;1,6;0,7
2,9;6;8;1;0,6;1,6;0,7
2,9;6;8;1;0,6;1,6;0,7
2,9;6;8;1;0,6;1,6;0,7
2,9;6;8;1;0,6;1,6;0,7
2,9;6;8;1;0,6;1,6;0,7
2,9;6;8;1;0,6;1,6;0,7
2,9;6;8;1;0,6;1,6;0,7
2,8;5;8;1;0,5;1,6;0,7
2,8;5;8;1;0,5;1,6;0,7
2,8;5;8;1;0,5;1,6;0,7
2,8;5;8;1;0,5;1,6;0,7
2,9;6;8;1;0,6;1,6;0,7
2,9;6;8;1;0,6;1,6;0,7
2,9;6;8;1;0,6;1,6;0,7
2,9;6;8;1;0,6;1,6;0,7
2,8;8;10;0;0,8;2;0
2,9;9;10;0;0,9;2;0
3,7;10;10;1;1;2;0,7
2,8;8;10;0;0,8;2;0
2,8;8;10;0;0,8;2;0
2,8;8;10;0;0,8;2;0
2,8;8;10;0;0,8;2;0
2,5;9;8;0;0,9;1,6;0
2,5;9;8;0;0,9;1,6;0
2,5;9;8;0;0,9;1,6;0
2,7;7;10;0;0,7;2;0
2,8;8;10;0;0,8;2;0
2,5;9;8;0;0,9;1,6;0
2,5;9;8;0;0,9;1,6;0
2,5;9;8;0;0,9;1,6;0
2,6;10;8;0;1;1,6;0
2,6;10;8;0;1;1,6;0
2,6;10;8;0;1;1,6;0
2,6;10;8;0;1;1,6;0
2,7;4;8;1;0,4;1,6;0,7
2,7;4;8;1;0,4;1,6;0,7
2,8;5;8;1;0,5;1,6;0,7
2,8;5;8;1;0,5;1,6;0,7
2,8;5;8;1;0,5;1,6;0,7
2,4;8;8;0;0,8;1,6;0
2,8;9;6;1;0,9;1,2;0,7
2,7;8;6;1;0,8;1,2;0,7
2,9;6;8;1;0,6;1,6;0,7
2,6;6;10;0;0,6;2;0
2,9;5;12;0;0,5;2,4;0
2,8;4;12;0;0,4;2,4;0
2,8;4;12;0;0,4;2,4;0
2,8;4;12;0;0,4;2,4;0
2,9;2;10;1;0,2;2;0,7
2,9;2;10;1;0,2;2;0,7
2,9;2;10;1;0,2;2;0,7
2,5;1;12;0;0,1;2,4;0
2,9;2;10;1;0,2;2;0,7
2,4;4;10;0;0,4;2;0
2,4;4;10;0;0,4;2;0
2,8;5;8;1;0,5;1,6;0,7
2,3;3;10;0;0,3;2;0
2,7;3;12;0;0,3;2,4;0
2,9;5;12;0;0,5;2,4;0
2,9;5;12;0;0,5;2,4;0
2,9;5;12;0;0,5;2,4;0
2,8;4;12;0;0,4;2,4;0
2,5;5;10;0;0,5;2;0
2,9;6;8;1;0,6;1,6;0,7
2,6;6;10;0;0,6;2;0
2,7;7;10;0;0,7;2;0
2,6;6;10;0;0,6;2;0
2,9;6;8;1;0,6;1,6;0,7
2,6;6;10;0;0,6;2;0
2,5;5;10;0;0,5;2;0
2,5;5;10;0;0,5;2;0
2,6;6;10;0;0,6;2;0
2,7;7;10;0;0,7;2;0
2,7;7;10;0;0,7;2;0
2,7;7;10;0;0,7;2;0
2,7;7;10;0;0,7;2;0
2,7;7;10;0;0,7;2;0
2,7;7;10;0;0,7;2;0
2,7;7;10;0;0,7;2;0
2,7;7;10;0;0,7;2;0
2,8;8;10;0;0,8;2;0
2,8;8;10;0;0,8;2;0
2,9;9;10;0;0,9;2;0
2,9;9;10;0;0,9;2;0
2,9;9;10;0;0,9;2;0
2,9;9;10;0;0,9;2;0
2,8;8;10;0;0,8;2;0
2,8;8;10;0;0,8;2;0
2,8;9;6;1;0,9;1,2;0,7
2,9;9;10;0;0,9;2;0
2,7;7;10;0;0,7;2;0
2,7;7;10;0;0,7;2;0
2,7;7;10;0;0,7;2;0
2,9;6;8;1;0,6;1,6;0,7
2,9;6;8;1;0,6;1,6;0,7
3,7;7;8;2;0,7;1,6;1,4
3,7;7;8;2;0,7;1,6;1,4
3,7;7;8;2;0,7;1,6;1,4
3,7;7;8;2;0,7;1,6;1,4
3,7;7;8;2;0,7;1,6;1,4
3,7;7;8;2;0,7;1,6;1,4
2,6;6;10;0;0,6;2;0
2,9;6;8;1;0,6;1,6;0,7
2,9;6;8;1;0,6;1,6;0,7
2,8;5;8;1;0,5;1,6;0,7
2,8;5;8;1;0,5;1,6;0,7
2,8;5;8;1;0,5;1,6;0,7
2,9;6;8;1;0,6;1,6;0,7
2,8;5;8;1;0,5;1,6;0,7
2,1;5;8;0;0,5;1,6;0
2,5;6;6;1;0,6;1,2;0,7
2,3;7;8;0;0,7;1,6;0
2,3;7;8;0;0,7;1,6;0
2,9;6;8;1;0,6;1,6;0,7
2,6;7;6;1;0,7;1,2;0,7
1,8;6;6;0;0,6;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,8;6;6;0;0,6;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,8;6;6;0;0,6;1,2;0
1,8;6;6;0;0,6;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
1,9;7;6;0;0,7;1,2;0
